count,question,answer
0,What are the career batting statistics of Aisha Mohamed?," Input:- ""what are Matt Renshaw's best Test bowling figures against South Africa?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""ball""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Matt Renshaw"",
  ""teams_involved"": [""Australia"", ""South Africa""],
  ""team_name"": ""NA"",
  ""format"": [""Test""],
  ""best_k"": null,
  ""best_or_worst"": ""best"",
  ""batting_or_bowling"": ""bowling"",
  ""date_start"": ""NA""
}

The output doesn't contain Matt Renshaw's best Test bowling figures against South Africa since I don't have access to cricket statistics or databases. You can check cricinfo.com, ESPNcricinfo.com or other cricket statistics websites for this information."
1,What are the career batting statistics of Aisha Mohamed?,
2,What are the career batting statistics of Aisha Mohamed?,
3,What are the career batting statistics of Aisha Mohamed?,
4,What are the career batting statistics of Aisha Mohamed?,
5,What are the career batting statistics of Aisha Mohamed?,
6,What are the career batting statistics of Aisha Mohamed?,
7,What are the career batting statistics of Aisha Mohamed?,
8,What are the career batting statistics of Aisha Mohamed?,
9,What are the career batting statistics of Aisha Mohamed?,
10,What are the career batting statistics of Aisha Mohamed?,
11,What are the career batting statistics of Aisha Mohamed?,
12,What are the career batting statistics of Aisha Mohamed?,
13,What are the career batting statistics of Aisha Mohamed?,
14,What are the career batting statistics of Aisha Mohamed?,
15,What are the career batting statistics of Aisha Mohamed?,
16,What are the career batting statistics of Aisha Mohamed?,
0,What are the career batting statistics of Aisha Mohamed?,
1,What are the career batting statistics of Aisha Mohamed?,
2,What are the career batting statistics of Aisha Mohamed?,
3,What are the career batting statistics of Aisha Mohamed?,
4,What are the career batting statistics of Aisha Mohamed?,
5,What are the career batting statistics of Aisha Mohamed?,
6,What are the career batting statistics of Aisha Mohamed?,
7,What are the career batting statistics of Aisha Mohamed?,
8,What are the career batting statistics of Aisha Mohamed?,
9,What are the career batting statistics of Aisha Mohamed?,
10,What are the career batting statistics of Aisha Mohamed?,
11,What are the career batting statistics of Aisha Mohamed?,
12,What are the career batting statistics of Aisha Mohamed?,
13,What are the career batting statistics of Aisha Mohamed?,
14,What are the career batting statistics of Aisha Mohamed?,
15,What are the career batting statistics of Aisha Mohamed?,
16,What are the career batting statistics of Aisha Mohamed?,
17,What are the career batting statistics of Aisha Mohamed?,
18,What are the career batting statistics of Aisha Mohamed?,
19,What are the career batting statistics of Aisha Mohamed?,
20,What are the career batting statistics of Aisha Mohamed?,
21,What are the career batting statistics of Aisha Mohamed?,
22,What are the career batting statistics of Aisha Mohamed?,
23,What are the career batting statistics of Aisha Mohamed?,
24,What are the career batting statistics of Aisha Mohamed?,
25,What are the career batting statistics of Aisha Mohamed?,
26,What are the career batting statistics of Aisha Mohamed?,
27,What are the career batting statistics of Aisha Mohamed?,
28,What are the career batting statistics of Aisha Mohamed?,
29,What are the career batting statistics of Aisha Mohamed?,
30,What are the career batting statistics of Aisha Mohamed?,
31,What are the career batting statistics of Aisha Mohamed?,
32,What are the career batting statistics of Aisha Mohamed?,
